fit,user_id,item_id,weight_lbs,rating,rented_for,body_type,category,size,age,review_date,bust_size_num,bust_size_letter,height_in,review_month,review_day_of_month,review_year,recommend
fit,531640,703458,155.0,10.0,wedding,hourglass,sheath,24,37.0,2017-11-15,36.0,2,67.0,11,15,2017,1
small,645410,152836,150.0,10.0,wedding,athletic,mini,20,30.0,2013-11-07,36.0,2,67.0,11,7,2013,1
small,334320,918064,,8.0,wedding,hourglass,sheath,24,28.0,2017-10-08,36.0,4,69.0,10,8,2017,0
fit,109295,145906,127.0,8.0,formal affair,athletic,gown,9,20.0,2015-05-06,34.0,2,67.0,5,6,2015,0
small,206893,620288,105.0,10.0,formal affair,petite,dress,4,54.0,2016-05-08,36.0,3,61.0,5,8,2016,1
fit,349844,1547051,135.0,10.0,wedding,hourglass,gown,13,36.0,2017-10-20,36.0,2,69.0,10,20,2017,1
small,669923,331636,150.0,10.0,party,apple,dress,24,19.0,2016-05-22,36.0,3,62.0,5,22,2016,1
fit,471590,1226293,130.0,8.0,wedding,pear,shift,8,33.0,2014-05-06,34.0,1,65.0,5,6,2014,0
fit,555565,1172052,,10.0,wedding,full bust,sheath,32,54.0,2014-09-17,38.0,4,66.0,9,17,2014,1
fit,506201,2673874,145.0,10.0,wedding,athletic,jumpsuit,12,29.0,2015-06-15,34.0,4,68.0,6,15,2015,1
fit,515980,666794,124.0,10.0,wedding,athletic,dress,4,28.0,2018-01-01,34.0,2,63.0,1,1,2018,1
fit,226492,141688,130.0,8.0,wedding,full bust,gown,12,29.0,2015-11-10,32.0,4,65.0,11,10,2015,0
fit,140456,1716120,138.0,4.0,work,hourglass,shift,8,33.0,2017-10-18,34.0,2,67.0,10,18,2017,0
small,64938,2161642,161.0,8.0,everyday,pear,vest,20,30.0,2017-04-17,34.0,2,64.0,4,17,2017,0
large,890641,141761,135.0,10.0,date,petite,dress,8,33.0,2015-06-09,34.0,2,64.0,6,9,2015,1
fit,727933,174086,,10.0,wedding,hourglass,dress,8,32.0,2015-04-20,34.0,2,60.0,4,20,2015,1
fit,257741,146684,118.0,10.0,formal affair,athletic,gown,8,40.0,2012-05-11,34.0,4,64.0,5,11,2012,1
fit,490254,1920477,184.0,10.0,wedding,hourglass,dress,39,29.0,2015-04-14,38.0,4,61.0,4,14,2015,1
fit,273636,1936497,135.0,10.0,other,pear,dress,12,25.0,2016-08-18,34.0,3,65.0,8,18,2016,1
fit,995735,781825,140.0,8.0,date,petite,dress,8,34.0,2014-08-27,34.0,2,63.0,8,27,2014,0
fit,547738,1340234,128.0,10.0,wedding,hourglass,dress,4,30.0,2017-11-06,32.0,4,68.0,11,6,2017,1
fit,388317,925665,105.0,10.0,wedding,straight & narrow,dress,4,36.0,2017-09-10,32.0,3,63.0,9,10,2017,1
fit,355454,126335,155.0,10.0,wedding,hourglass,dress,12,37.0,2014-03-06,32.0,4,68.0,3,6,2014,1
fit,531422,1242074,135.0,8.0,formal affair,athletic,gown,12,31.0,2017-03-02,36.0,2,62.0,3,2,2017,0
large,659410,883661,140.0,10.0,other,pear,dress,4,27.0,2015-09-29,32.0,3,65.0,9,29,2015,1
small,243197,725242,140.0,10.0,formal affair,full bust,dress,12,39.0,2016-11-15,32.0,4,66.0,11,15,2016,1
large,813412,2949937,138.0,8.0,other,athletic,romper,12,38.0,2017-08-02,36.0,1,65.0,8,2,2017,0
fit,411462,2503472,130.0,10.0,everyday,pear,tank,8,35.0,2015-09-10,34.0,3,65.0,9,10,2015,1
fit,1384,1432504,145.0,8.0,everyday,hourglass,dress,4,36.0,2016-07-01,34.0,1,71.0,7,1,2016,0
fit,326425,1821048,160.0,8.0,work,hourglass,shirtdress,16,39.0,2017-04-11,34.0,4,68.0,4,11,2017,0
fit,429070,126335,186.0,10.0,party,hourglass,dress,20,30.0,2014-06-02,36.0,3,70.0,6,2,2014,1
fit,841672,1335648,,10.0,wedding,,gown,7,34.0,2017-08-23,32.0,4,67.0,8,23,2017,1
fit,749336,937638,125.0,8.0,formal affair,apple,gown,8,35.0,2016-05-31,34.0,3,65.0,5,31,2016,0
large,544802,184374,158.0,10.0,wedding,full bust,shift,16,30.0,2014-08-24,36.0,4,63.0,8,24,2014,1
fit,960514,137585,125.0,10.0,party,athletic,sheath,8,28.0,2014-03-31,32.0,2,62.0,3,31,2014,1
large,47002,1676837,135.0,8.0,everyday,straight & narrow,dress,4,31.0,2016-03-04,36.0,1,68.0,3,4,2016,0
fit,531269,137585,,10.0,party,petite,sheath,8,28.0,2014-04-19,,,63.0,4,19,2014,1
fit,700642,568875,,8.0,party,pear,dress,20,29.0,2016-03-05,,,65.0,3,5,2016,0
fit,333748,1546247,170.0,10.0,party,hourglass,sheath,24,51.0,2017-12-01,38.0,4,67.0,12,1,2017,1
fit,604684,128959,120.0,10.0,wedding,athletic,gown,4,30.0,2014-10-31,34.0,5,62.0,10,31,2014,1
small,186339,125465,135.0,8.0,formal affair,hourglass,gown,12,28.0,2014-10-01,32.0,4,65.0,10,1,2014,0
fit,96369,279859,110.0,10.0,everyday,straight & narrow,dress,1,38.0,2016-10-05,32.0,4,64.0,10,5,2016,1
fit,231461,1692683,135.0,8.0,other,petite,dress,8,26.0,2017-11-04,32.0,3,62.0,11,4,2017,0
fit,60290,1692989,180.0,8.0,wedding,full bust,gown,24,31.0,2017-09-06,36.0,4,66.0,9,6,2017,0
fit,543568,1226293,145.0,10.0,party,pear,shift,20,37.0,2014-02-04,36.0,3,63.0,2,4,2014,1
fit,613985,865225,130.0,10.0,wedding,hourglass,dress,8,27.0,2016-06-01,34.0,3,64.0,6,1,2016,1
fit,878694,166633,130.0,10.0,party,athletic,mini,12,35.0,2014-08-30,36.0,2,63.0,8,30,2014,1
fit,987023,1534987,125.0,10.0,other,hourglass,sheath,8,36.0,2015-03-20,34.0,1,67.0,3,20,2015,1
fit,705986,1547178,120.0,10.0,wedding,full bust,sheath,4,25.0,2016-08-28,,,65.0,8,28,2016,1
fit,171306,2656158,125.0,8.0,everyday,athletic,tunic,4,29.0,2016-12-07,34.0,1,67.0,12,7,2016,0
fit,421840,1491849,145.0,10.0,other,hourglass,dress,12,34.0,2017-10-31,34.0,4,65.0,10,31,2017,1
small,376466,331924,,8.0,other,,dress,14,31.0,2017-12-19,36.0,3,67.0,12,19,2017,0
large,562435,126335,150.0,10.0,formal affair,athletic,dress,16,47.0,2016-02-22,38.0,4,62.0,2,22,2016,1
large,344217,2354093,125.0,6.0,other,athletic,top,4,34.0,2015-07-16,32.0,4,64.0,7,16,2015,0
fit,172660,1378631,165.0,10.0,party,hourglass,maxi,28,32.0,2015-10-23,36.0,4,65.0,10,23,2015,1
fit,427110,716777,110.0,10.0,formal affair,petite,dress,4,31.0,2015-06-01,32.0,3,62.0,6,1,2015,1
fit,353509,1614043,200.0,8.0,party,hourglass,sheath,39,47.0,2014-12-13,38.0,3,63.0,12,13,2014,0
fit,679959,145906,125.0,8.0,formal affair,athletic,gown,2,28.0,2012-11-06,34.0,2,67.0,11,6,2012,0
fit,557109,791847,127.0,10.0,everyday,athletic,dress,8,40.0,2017-10-27,32.0,2,63.0,10,27,2017,1
fit,28686,2080312,,10.0,wedding,hourglass,jumpsuit,4,30.0,2015-05-14,34.0,3,66.0,5,14,2015,1
fit,412006,1001122,120.0,8.0,everyday,hourglass,sheath,1,29.0,2016-04-03,32.0,4,65.0,4,3,2016,0
fit,587445,174086,138.0,10.0,wedding,athletic,dress,12,34.0,2013-04-21,36.0,3,67.0,4,21,2013,1
fit,95920,134015,127.0,8.0,formal affair,athletic,gown,11,27.0,2013-11-10,34.0,1,67.0,11,10,2013,0
fit,423301,638318,129.0,10.0,formal affair,full bust,gown,8,27.0,2015-02-19,36.0,3,62.0,2,19,2015,1
fit,726131,1079695,123.0,10.0,wedding,,gown,8,24.0,2017-11-01,34.0,3,67.0,11,1,2017,1
fit,391259,145906,128.0,10.0,formal affair,athletic,gown,4,30.0,2013-04-17,34.0,2,69.0,4,17,2013,1
small,86847,2236896,155.0,2.0,party,athletic,jumpsuit,24,40.0,2015-04-30,36.0,2,65.0,4,30,2015,0
fit,947612,1695878,200.0,10.0,party,pear,dress,28,32.0,2016-11-27,38.0,3,65.0,11,27,2016,1
fit,709728,1212992,115.0,8.0,formal affair,petite,sheath,1,32.0,2015-11-09,32.0,1,60.0,11,9,2015,0
large,446017,139086,153.0,10.0,formal affair,pear,gown,20,35.0,2015-01-04,38.0,2,63.0,1,4,2015,1
fit,278050,1695878,,8.0,wedding,athletic,dress,4,34.0,2015-09-23,,,69.0,9,23,2015,0
fit,608681,350549,,10.0,date,,dress,20,50.0,2016-07-12,36.0,4,64.0,7,12,2016,1
fit,698893,1910722,140.0,10.0,party,hourglass,dress,12,30.0,2016-08-09,34.0,2,65.0,8,9,2016,1
fit,226492,1010926,130.0,10.0,wedding,full bust,gown,12,29.0,2017-09-07,32.0,4,65.0,9,7,2017,1
fit,326607,144931,123.0,10.0,party,athletic,sheath,4,29.0,2015-01-21,34.0,1,63.0,1,21,2015,1
large,685291,1073611,140.0,8.0,wedding,hourglass,dress,16,29.0,2017-12-08,36.0,3,62.0,12,8,2017,0
fit,654620,450618,105.0,10.0,formal affair,,dress,4,40.0,2016-10-30,,,60.0,10,30,2016,1
fit,797132,1378631,150.0,10.0,party,hourglass,maxi,16,27.0,2017-05-03,32.0,2,66.0,5,3,2017,1
fit,788046,1085150,125.0,8.0,work,athletic,dress,4,32.0,2017-03-22,34.0,3,65.0,3,22,2017,0
fit,937070,174086,,10.0,wedding,apple,dress,28,30.0,2015-03-08,36.0,4,64.0,3,8,2015,1
fit,972811,131117,,10.0,wedding,hourglass,gown,15,31.0,2013-09-05,36.0,3,63.0,9,5,2013,1
fit,100615,889239,165.0,8.0,formal affair,pear,sheath,12,23.0,2014-02-24,36.0,2,71.0,2,24,2014,0
small,83718,704861,125.0,8.0,everyday,,dress,8,26.0,2017-07-12,32.0,4,66.0,7,12,2017,0
fit,8899,1378631,135.0,10.0,wedding,full bust,maxi,8,33.0,2014-05-04,34.0,4,63.0,5,4,2014,1
fit,511865,1741645,166.0,10.0,date,petite,shift,12,35.0,2016-03-22,36.0,1,63.0,3,22,2016,1
fit,719519,1031440,161.0,10.0,party,athletic,dress,20,28.0,2016-12-15,32.0,5,71.0,12,15,2016,1
fit,98537,357231,122.0,10.0,formal affair,hourglass,dress,8,38.0,2016-05-21,34.0,4,67.0,5,21,2016,1
fit,138244,2398521,160.0,10.0,everyday,hourglass,skirt,20,35.0,2017-05-30,36.0,2,66.0,5,30,2017,1
fit,555409,123373,158.0,8.0,formal affair,hourglass,gown,20,42.0,2013-01-14,36.0,2,67.0,1,14,2013,0
fit,657665,158794,120.0,10.0,formal affair,petite,dress,8,23.0,2015-01-14,32.0,1,62.0,1,14,2015,1
fit,19180,2793818,115.0,10.0,party,petite,romper,4,38.0,2016-02-02,34.0,3,60.0,2,2,2016,1
fit,400127,1869763,123.0,10.0,wedding,hourglass,shift,4,34.0,2016-02-18,32.0,2,66.0,2,18,2016,1
fit,354151,1697200,103.0,8.0,formal affair,pear,dress,4,19.0,2015-09-04,32.0,2,63.0,9,4,2015,0
large,227322,2115784,150.0,10.0,everyday,,cape,5,31.0,2016-03-07,,,68.0,3,7,2016,1
fit,801446,450618,110.0,10.0,wedding,petite,dress,1,27.0,2016-10-23,34.0,3,61.0,10,23,2016,1
fit,379865,138431,,10.0,formal affair,athletic,gown,16,19.0,2014-09-16,36.0,3,69.0,9,16,2014,1
fit,476109,139086,145.0,8.0,formal affair,pear,gown,15,27.0,2012-12-19,36.0,3,63.0,12,19,2012,0
fit,14393,2311418,135.0,4.0,work,hourglass,sweater,8,39.0,2017-11-08,32.0,4,65.0,11,8,2017,0
large,367722,140321,150.0,6.0,wedding,straight & narrow,gown,13,28.0,2012-12-18,34.0,2,71.0,12,18,2012,0
fit,518001,1219459,,10.0,wedding,hourglass,maxi,14,31.0,2017-09-17,36.0,2,66.0,9,17,2017,1
large,834172,1547971,175.0,8.0,formal affair,pear,gown,17,32.0,2016-11-13,36.0,3,67.0,11,13,2016,0
fit,480020,1022099,137.0,8.0,date,hourglass,dress,12,40.0,2017-10-30,34.0,3,67.0,10,30,2017,0
fit,517647,988239,,10.0,formal affair,full bust,sheath,14,28.0,2016-06-17,36.0,4,64.0,6,17,2016,1
fit,166839,1270958,,8.0,wedding,,gown,12,29.0,2017-11-25,34.0,5,66.0,11,25,2017,0
fit,807088,231133,130.0,10.0,wedding,pear,dress,4,27.0,2017-07-25,32.0,2,63.0,7,25,2017,1
fit,835439,123793,110.0,10.0,wedding,hourglass,gown,8,34.0,2014-08-20,32.0,2,62.0,8,20,2014,1
fit,777526,1115223,130.0,8.0,date,full bust,dress,8,26.0,2017-02-15,32.0,4,66.0,2,15,2017,0
fit,762464,617766,105.0,8.0,formal affair,petite,dress,4,43.0,2017-01-24,34.0,1,62.0,1,24,2017,0
fit,352852,127865,,10.0,formal affair,,gown,8,43.0,2016-11-16,32.0,4,64.0,11,16,2016,1
fit,135936,152836,128.0,8.0,party,full bust,mini,8,38.0,2015-05-01,32.0,4,61.0,5,1,2015,0
fit,484835,1164757,155.0,10.0,party,athletic,dress,14,31.0,2016-05-06,34.0,2,67.0,5,6,2016,1
fit,944920,2492236,135.0,8.0,everyday,hourglass,top,14,46.0,2017-03-03,34.0,4,65.0,3,3,2017,0
fit,775276,136860,165.0,10.0,formal affair,apple,sheath,28,33.0,2013-11-23,36.0,2,63.0,11,23,2013,1
fit,43926,183200,150.0,10.0,wedding,athletic,dress,12,26.0,2017-05-19,34.0,2,67.0,5,19,2017,1
fit,59614,1160073,128.0,8.0,everyday,petite,shift,12,57.0,2017-01-26,34.0,1,60.0,1,26,2017,0
small,776209,2876727,135.0,6.0,everyday,hourglass,sweater,14,35.0,2017-12-27,34.0,2,65.0,12,27,2017,0
fit,10124,755371,132.0,10.0,formal affair,athletic,gown,8,35.0,2015-04-28,32.0,2,69.0,4,28,2015,1
fit,215042,141688,135.0,10.0,formal affair,full bust,gown,8,38.0,2016-01-21,34.0,4,62.0,1,21,2016,1
fit,375703,956499,165.0,8.0,work,hourglass,dress,20,40.0,2017-07-31,34.0,5,66.0,7,31,2017,0
fit,722597,1633174,152.0,8.0,work,hourglass,midi,16,48.0,2017-10-19,34.0,5,71.0,10,19,2017,0
large,728072,126335,145.0,8.0,party,athletic,dress,12,34.0,2013-12-09,34.0,2,68.0,12,9,2013,0
fit,151944,466944,145.0,10.0,wedding,athletic,gown,16,27.0,2017-10-08,34.0,2,69.0,10,8,2017,1
small,471090,1810862,125.0,10.0,party,,dress,4,31.0,2017-12-11,32.0,4,67.0,12,11,2017,1
small,355616,730604,150.0,8.0,wedding,full bust,dress,28,45.0,2017-07-17,38.0,4,64.0,7,17,2017,0
fit,688163,1255726,135.0,10.0,wedding,athletic,gown,13,34.0,2017-05-31,34.0,4,69.0,5,31,2017,1
small,836147,626764,145.0,10.0,wedding,straight & narrow,gown,16,33.0,2016-01-21,36.0,2,65.0,1,21,2016,1
fit,346502,948002,112.0,10.0,formal affair,petite,gown,1,30.0,2015-11-04,32.0,3,64.0,11,4,2015,1
large,730953,2031136,135.0,8.0,other,athletic,pants,8,44.0,2016-12-19,36.0,3,67.0,12,19,2016,0
small,942693,948805,145.0,6.0,party,pear,dress,8,29.0,2014-08-04,34.0,2,68.0,8,4,2014,0
fit,377274,154823,110.0,10.0,wedding,petite,dress,1,25.0,2015-11-24,34.0,2,64.0,11,24,2015,1
large,388319,166633,112.0,4.0,formal affair,petite,mini,1,28.0,2014-11-06,34.0,1,61.0,11,6,2014,0
large,562172,1878529,,8.0,wedding,,dress,4,26.0,2017-10-05,,,69.0,10,5,2017,0
fit,102680,931734,,10.0,party,hourglass,dress,8,28.0,2017-08-01,32.0,3,68.0,8,1,2017,1
small,575523,1661761,130.0,10.0,wedding,,gown,4,28.0,2016-09-11,,,64.0,9,11,2016,1
fit,615094,2211789,128.0,8.0,everyday,hourglass,romper,8,40.0,2016-08-08,36.0,3,64.0,8,8,2016,0
fit,985768,921642,150.0,8.0,other,athletic,dress,20,30.0,2017-05-03,36.0,4,70.0,5,3,2017,0
large,491589,2555037,210.0,10.0,everyday,full bust,tunic,20,24.0,2017-07-19,38.0,5,69.0,7,19,2017,1
fit,585423,296430,136.0,10.0,wedding,hourglass,dress,8,32.0,2017-07-14,34.0,3,64.0,7,14,2017,1
fit,837130,1260666,118.0,10.0,vacation,petite,dress,4,33.0,2016-08-30,32.0,3,64.0,8,30,2016,1
fit,338287,733561,136.0,10.0,formal affair,apple,shift,12,42.0,2017-10-24,36.0,3,64.0,10,24,2017,1
fit,362755,1730182,144.0,8.0,formal affair,apple,gown,20,51.0,2015-04-20,36.0,2,63.0,4,20,2015,0
fit,870729,130259,130.0,8.0,party,hourglass,dress,12,47.0,2015-04-07,34.0,2,63.0,4,7,2015,0
fit,442524,1982904,125.0,8.0,party,hourglass,sheath,8,27.0,2015-05-29,36.0,2,68.0,5,29,2015,0
large,303706,143094,,8.0,date,athletic,dress,8,33.0,2013-01-18,34.0,3,69.0,1,18,2013,0
fit,759839,1392841,130.0,10.0,party,,dress,8,31.0,2016-08-27,,,64.0,8,27,2016,1
fit,944546,2626811,136.0,8.0,everyday,athletic,top,8,35.0,2016-02-09,32.0,1,70.0,2,9,2016,0
fit,659642,1703034,128.0,10.0,party,hourglass,dress,8,37.0,2016-06-20,34.0,2,65.0,6,20,2016,1
fit,453920,730008,132.0,10.0,party,hourglass,dress,8,29.0,2014-10-17,34.0,2,64.0,10,17,2014,1
fit,230329,1770781,140.0,10.0,wedding,hourglass,dress,12,34.0,2016-06-19,34.0,2,68.0,6,19,2016,1
large,884132,125564,125.0,6.0,formal affair,pear,gown,4,31.0,2014-02-27,34.0,2,64.0,2,27,2014,0
fit,214108,754797,105.0,10.0,work,petite,dress,4,43.0,2016-03-21,32.0,4,62.0,3,21,2016,1
fit,956702,1213427,140.0,10.0,wedding,,gown,13,29.0,2016-06-06,,,68.0,6,6,2016,1
large,784968,203856,,10.0,formal affair,straight & narrow,gown,5,30.0,2015-04-22,34.0,2,70.0,4,22,2015,1
fit,103573,810711,,8.0,party,hourglass,dress,24,45.0,2017-03-02,,,70.0,3,2,2017,0
fit,90224,2810085,126.0,10.0,other,petite,coat,8,29.0,2017-12-13,34.0,3,62.0,12,13,2017,1
fit,504260,517998,123.0,10.0,wedding,petite,dress,8,28.0,2017-04-28,34.0,2,60.0,4,28,2017,1
fit,42219,200269,,10.0,wedding,hourglass,dress,20,26.0,2013-06-13,36.0,3,65.0,6,13,2013,1
fit,562274,125424,145.0,8.0,party,hourglass,dress,20,30.0,2014-04-09,34.0,3,67.0,4,9,2014,0
fit,357022,1219754,152.0,10.0,formal affair,hourglass,gown,17,27.0,2017-04-03,,,64.0,4,3,2017,1
fit,994398,2775456,160.0,10.0,everyday,hourglass,coat,14,39.0,2016-05-30,34.0,3,66.0,5,30,2016,1
small,854865,2805203,125.0,8.0,date,,top,8,30.0,2017-12-21,34.0,2,63.0,12,21,2017,0
fit,666409,1576857,135.0,8.0,other,straight & narrow,dress,8,46.0,2014-11-13,32.0,4,70.0,11,13,2014,0
fit,139671,2064568,135.0,10.0,vacation,hourglass,legging,8,31.0,2017-03-04,34.0,2,65.0,3,4,2017,1
fit,967966,2393071,130.0,10.0,wedding,full bust,skirt,12,26.0,2016-04-06,36.0,4,68.0,4,6,2016,1
fit,740507,1680968,135.0,8.0,party,athletic,dress,8,56.0,2015-11-15,34.0,2,67.0,11,15,2015,0
fit,57297,2201799,118.0,6.0,everyday,straight & narrow,sweater,8,26.0,2017-12-20,32.0,4,66.0,12,20,2017,0
fit,600375,187477,110.0,10.0,formal affair,straight & narrow,dress,1,35.0,2016-12-01,32.0,3,65.0,12,1,2016,1
fit,757662,314633,115.0,8.0,wedding,pear,gown,8,39.0,2017-11-13,32.0,4,60.0,11,13,2017,0
fit,355550,406848,150.0,10.0,everyday,,sheath,32,41.0,2015-10-02,,,64.0,10,2,2015,1
fit,459111,154002,135.0,8.0,formal affair,hourglass,gown,11,21.0,2014-05-02,36.0,3,63.0,5,2,2014,0
fit,149308,913142,140.0,10.0,party,hourglass,dress,12,35.0,2017-03-30,34.0,3,63.0,3,30,2017,1
fit,296544,123793,,10.0,wedding,,gown,8,27.0,2015-10-29,,,65.0,10,29,2015,1
fit,126461,132135,129.0,10.0,other,hourglass,gown,7,20.0,2016-05-21,36.0,3,66.0,5,21,2016,1
small,348924,1689782,165.0,8.0,formal affair,pear,gown,16,19.0,2017-11-05,36.0,3,67.0,11,5,2017,0
small,923908,544038,145.0,10.0,wedding,hourglass,dress,12,32.0,2017-08-22,34.0,3,67.0,8,22,2017,1
small,878373,1355618,110.0,10.0,formal affair,petite,dress,8,35.0,2017-12-13,,,61.0,12,13,2017,1
